B08_NIR,B04_RED,landuse
2249,280,Bos
2158,342,Bos
2212,277,Bos
2065,346,Bos
2316,265,Bos
2136,301,Bos
2083,286,Bos
2004,274,Bos
2430,261,Bos
2200,375,Bos
2699,255,Bos
2360,259,Bos
2036,317,Bos
2370,304,Bos
2200,241,Bos
2074,349,Bos
2048,248,Bos
2212,292,Bos
2227,297,Bos
2050,318,Bos
1836,244,Bos
2159,268,Bos
2678,331,Bos
3725,240,Bos
2239,326,Bos
2154,296,Bos
1986,284,Bos
1884,465,Bos
2342,263,Bos
2946,246,Bos
3043,326,Bos
2331,258,Bos
2945,258,Bos
1611,298,Bos
2315,301,Bos
2076,246,Bos
1953,260,Bos
2318,247,Bos
1712,260,Bos
2654,252,Bos
2667,273,Bos
2432,309,Bos
2196,573,Bos
2358,397,Bos
2148,303,Bos
2000,282,Bos
1864,277,Bos
2250,284,Bos
1572,314,Bos
2012,328,Bos
2193,333,Bos
1903,311,Bos
2196,262,Bos
2680,237,Bos
2204,274,Bos
2287,279,Bos
2103,272,Bos
2424,289,Bos
2122,299,Bos
1870,354,Bos
3520,386,Gras
4380,319,Gras
4232,286,Gras
5063,251,Gras
4989,272,Gras
4568,401,Gras
4431,382,Gras
4756,390,Gras
5273,320,Gras
5259,342,Gras
4393,322,Gras
3173,589,Gras
4828,294,Gras
4785,316,Gras
3716,530,Gras
3487,336,Gras
4413,372,Gras
3260,437,Gras
4663,443,Gras
4163,263,Gras
2667,861,Gras
2745,789,Gras
3588,375,Gras
3408,397,Gras
4432,319,Gras
3764,294,Gras
4783,314,Gras
2314,1112,Gras
4167,347,Gras
2703,835,Gras
2722,539,Gras
2886,861,Gras
3356,539,Gras
2750,686,Gras
3451,379,Gras
3938,406,Gras
3054,491,Gras
3261,1434,Gras
4765,349,Gras
3732,366,Gras
3431,519,Gras
3376,472,Gras
2849,530,Gras
3103,477,Gras
3442,397,Gras
3996,287,Gras
3542,391,Gras
3994,327,Gras
4453,266,Gras
5200,268,Gras
2812,595,Gras
2523,576,Gras
3078,567,Gras
4276,396,Gras
2844,589,Gras
3856,349,Gras
5794,235,Gras
3396,318,Gras
4235,340,Gras
2330,502,Gras
