;id;hoogte;naam;st_x;st_y
0;343;3.5;ROTTERDAM-GEULHAVEN;4.313;51.893
1;344;-5.14;Rotterdam;4.447;51.962
2;348;-0.71;Cabauw;4.926;51.97
3;350;11.95;Gilze-Rijen;4.936;51.566
4;356;0.66;Herwijnen;5.146;51.859
5;370;20.69;Eindhoven;5.377;51.451
6;375;19.85;Volkel;5.707;51.659
7;380;112.72;Maastricht;5.762;50.906
8;391;19.5;Arcen;6.197;51.498
9;340;15.04;Woensdrecht;4.342;51.449
10;209;0.0;IJMOND;4.518;52.465
11;210;-0.2;Valkenburg;4.43;52.171
12;215;-1.1;VOORSCHOTEN;4.437;52.141
13;225;4.4;IJMUIDEN;4.555;52.463
14;235;0.57;De Kooy;4.783;52.928
15;242;1.72;Vlieland;4.921;52.241
16;248;0.8;WIJDENES;5.174;52.634
17;249;-2.4;Berkhout;4.979;52.644
18;251;0.73;Hoorn Terschelling;5.346;52.392
19;257;8.5;Wijk aan Zee;4.603;52.506
20;258;7.3;HOUTRIBDIJK;5.401;52.649
21;260;2.0;De Bilt;5.18;52.1
22;265;14.0;Soesterberg;5.274;52.13
23;267;-1.3;Stavoren;5.384;52.898
24;269;-4.41;Lelystad;5.52;52.458
25;270;0.27;Leeuwarden;5.752;52.224
26;273;-3.35;Marknesse;5.888;52.703
27;275;45.23;Deelen;5.873;52.056
28;277;2.9;Lauwersoog;6.2;52.413
29;278;3.6;Heino;6.259;52.435
30;279;15.82;Hoogeveen;6.574;52.75
31;280;3.23;Eelde;6.585;53.125
32;283;29.7;Hupsel;6.657;52.069
33;285;0.0;HUIBERTGAT;6.399;53.575
34;286;-0.2;Nieuw Beerta;7.15;53.196
35;290;33.02;Twenthe;6.891;52.274
36;308;0.0;CADZAND;3.379;51.381
37;310;8.03;Vlissingen;3.596;51.442
38;311;0.0;HOOFDPLAAT;3.672;51.379
39;312;0.0;OOSTERSCHELDE;3.622;51.768
40;313;0.0;VLAKTE V.D. RAAN;3.242;51.505
41;315;0.0;HANSWEERT;3.998;51.447
42;316;0.0;SCHAAR;3.694;51.657
43;319;1.68;Westdorpe;3.861;51.226
44;323;1.65;Wilhelminadorp;3.884;51.527
45;324;0.0;STAVENISSE;4.006;51.596
46;330;11.86;Hoek van Holland;4.122;51.992
47;331;0.0;THOLEN;4.193;51.48
48;377;30.0;Ell;5.763;51.198
49;240;-4.18;Schiphol;4.79;52.318
